Estimate	sd	t	pvalue	rob_sd	p_boot
Intercept	1.896	0.144	13.194	0	0.143	0
Gender	-0.562	0.195	-2.891	0.004	0.189	0.002
Age	0.023	0.116	0.198	0.843	0.117	0.802
n1_ct	0.316	0.259	1.217	0.224	0.257	0.234
PC1	1.525	0.11	13.819	0	0.121	0
I(Gender * Age)	0.091	0.155	0.59	0.556	0.159	0.566
I(Gender * n1_ct)	0.019	0.348	0.056	0.955	0.351	0.938
I(Gender * PC1)	-0.581	0.157	-3.711	0	0.185	0.002
Intercept	2.748	0.232	11.868	0	0.235	0
Gender	-0.53	0.314	-1.69	0.092	0.304	0.076
Age	0.538	0.187	2.879	0.004	0.192	0.004
n1_ct	0.684	0.418	1.638	0.102	0.459	0.114
PC1	1.648	0.178	9.267	0	0.212	0
I(Gender * Age)	-0.373	0.249	-1.496	0.136	0.262	0.174
I(Gender * n1_ct)	-0.241	0.561	-0.43	0.667	0.622	0.668
I(Gender * PC1)	-0.426	0.252	-1.689	0.092	0.308	0.164
Intercept	3.783	0.234	16.177	0	0.252	0
Gender	-0.606	0.317	-1.914	0.056	0.325	0.048
Age	0.25	0.189	1.325	0.186	0.213	0.234
n1_ct	1.432	0.422	3.393	0.001	0.409	0
PC1	1.676	0.18	9.331	0	0.197	0
I(Gender * Age)	-0.111	0.252	-0.44	0.66	0.281	0.65
I(Gender * n1_ct)	-0.312	0.567	-0.55	0.582	0.583	0.636
I(Gender * PC1)	-0.377	0.255	-1.481	0.14	0.292	0.178
Intercept	4.739	0.229	20.651	0	0.209	0
Gender	-0.58	0.311	-1.868	0.063	0.269	0.028
Age	0.343	0.185	1.849	0.065	0.194	0.086
n1_ct	0.359	0.414	0.867	0.386	0.41	0.406
PC1	1.806	0.176	10.247	0	0.17	0
I(Gender * Age)	-0.403	0.247	-1.63	0.104	0.258	0.084
I(Gender * n1_ct)	-0.14	0.556	-0.251	0.802	0.579	0.852
I(Gender * PC1)	-0.213	0.25	-0.853	0.394	0.272	0.45
Intercept	3.018	0.174	17.297	0	0.167	0
Gender	-0.6	0.236	-2.542	0.011	0.228	0.01
Age	0.376	0.141	2.668	0.008	0.141	0
n1_ct	0.312	0.315	0.99	0.323	0.295	0.336
PC1	1.592	0.134	11.882	0	0.141	0
I(Gender * Age)	-0.307	0.188	-1.634	0.103	0.192	0.088
I(Gender * n1_ct)	0.142	0.423	0.336	0.737	0.421	0.782
I(Gender * PC1)	-0.016	0.19	-0.083	0.934	0.203	0.864
Intercept	4.092	0.216	18.977	0	0.232	0
Gender	-0.306	0.292	-1.048	0.296	0.298	0.29
Age	0.372	0.174	2.133	0.034	0.2	0.054
n1_ct	1.41	0.389	3.622	0	0.41	0.002
PC1	1.703	0.166	10.28	0	0.187	0
I(Gender * Age)	-0.187	0.232	-0.806	0.421	0.269	0.472
I(Gender * n1_ct)	-0.61	0.522	-1.168	0.244	0.57	0.278
I(Gender * PC1)	-0.439	0.235	-1.868	0.063	0.278	0.104
